plot_id;tree_id;measure_id;dbh_cm;height_h;drainage_texture_class;potential_vegetation;climatic_domain;ratio_dbh_meandbh;precipitation;temperature;basal_area_m2ha;nb_trees_ha;height_minus_1_3;log_dbh;log_dbh2
99100502;15;1;20.7;23.6;2;FE2;1;0.8613430979;1126.9393;6.674;20.412243012;450;22.3;3.0773122605;9.4698507489
99100502;15;2;25.3;23.4;2;FE2;1;1.0285966386;1126.9393;6.674;22.570144101;475;22.1;3.2695689392;10.690081048
99100502;18;2;49.4;23.7;2;FE2;1;2.0084060848;1126.9393;6.674;22.570144101;475;22.4;3.9199911751;15.366330813
99100502;7;2;19.4;17.7;2;FE2;1;0.7887262762;1126.9393;6.674;22.570144101;475;16.4;3.0155349009;9.0934507382
99100502;9;1;13.8;12.6;2;FE2;1;0.5742287319;1126.9393;6.674;20.412243012;450;11.3;2.6946271808;7.2610156433
99100502;9;2;16.4;16;2;FE2;1;0.6667582954;1126.9393;6.674;22.570144101;475;14.7;2.8564702062;8.159422039
99100601;1;1;14.4;14.2;2;FE2;2EST;0.6244184417;1163.2719;5.3907;24.017691821;575;12.9;2.7343675094;7.4767656766
99100601;1;2;18;17.5;2;FE2;2EST;0.7045645318;1163.2719;5.3907;24.349326196;475;16.2;2.9444389792;8.669720902
99100601;10;1;14.8;20.4;2;FE2;2EST;0.6417633985;1163.2719;5.3907;24.017691821;575;19.1;2.76000994;7.6176548691
99100601;10;2;19.4;21.8;2;FE2;2EST;0.7593639953;1163.2719;5.3907;24.349326196;475;20.5;3.0155349009;9.0934507382
99100601;12;1;11.6;14.5;2;FE2;2EST;0.5030037447;1163.2719;5.3907;24.017691821;575;13.2;2.533696814;6.4196195451
99100601;6;1;12.7;15.1;2;FE2;2EST;0.5507023757;1163.2719;5.3907;24.017691821;575;13.8;2.6173958328;6.8507609457
99100601;6;2;16.9;19.1;2;FE2;2EST;0.6615078104;1163.2719;5.3907;24.349326196;475;17.8;2.8848007128;8.3220751528
99100601;7;1;16.8;21.8;2;FE2;2EST;0.728488182;1163.2719;5.3907;24.017691821;575;20.5;2.8791984573;8.2897837565
99100601;7;2;20.8;21.2;2;FE2;2EST;0.8141634589;1163.2719;5.3907;24.349326196;475;19.9;3.0819099698;9.4981690619
99100602;1;1;9.3;11.8;5;FE3;2EST;0.5786899862;1163.4125;5.3986;4.0568956732;200;10.5;2.3321438952;5.4388951481
99100602;1;2;13.4;14.6;5;FE3;2EST;1.0392443005;1163.4125;5.3986;10.119658986;775;13.3;2.6672282066;7.114106306
99100602;29;2;10;14.2;5;FE3;2EST;0.7755554481;1163.4125;5.3986;10.119658986;775;12.9;2.3978952728;5.7499017393
99100602;36;2;9.6;15.5;5;FE3;2EST;0.7445332302;1163.4125;5.3986;10.119658986;775;14.2;2.3608540011;5.5736316146
99100701;10;1;33;24.6;2;FE3;3EST;0.8453853926;1168.5403;4.4795;41.886717406;350;23.3;3.5263605246;12.43521855
99100701;10;2;36;23.7;2;FE3;3EST;0.9124508998;1168.5403;4.4795;42.790160913;350;22.4;3.6109179126;13.038728172
99100701;2;1;51;24.2;2;FE3;3EST;1.3065046976;1168.5403;4.4795;41.886717406;350;22.9;3.9512437186;15.612326924
99100701;2;2;51.5;26.5;2;FE3;3EST;1.3053117039;1168.5403;4.4795;42.790160913;350;25.2;3.9608131696;15.688040964
99100701;4;1;68.7;28;2;FE3;3EST;1.7599386809;1168.5403;4.4795;41.886717406;350;26.7;4.2442003178;18.013236337
99100701;4;2;70.7;28.5;2;FE3;3EST;1.7919521838;1168.5403;4.4795;42.790160913;350;27.2;4.2724907476;18.254177188
99100701;6;1;57;25.6;2;FE3;3EST;1.4602111326;1168.5403;4.4795;41.886717406;350;24.3;4.0604430105;16.487197442
99100701;6;2;58.5;26.2;2;FE3;3EST;1.4827327122;1168.5403;4.4795;42.790160913;350;24.9;4.0859763126;16.695202427
99100701;9;1;17.8;17.5;2;FE3;3EST;0.4559957572;1168.5403;4.4795;41.886717406;350;16.2;2.9338568698;8.6075161327
99100701;9;2;19.6;17.5;2;FE3;3EST;0.4967788232;1168.5403;4.4795;42.790160913;350;16.2;3.0252910758;9.1523860933
99100702;1;2;13;16.6;5;MJ2;3EST;0.564021074;1175.8411;4.4574;32.336099024;775;15.3;2.6390573296;6.964623589
99100801;10;1;19;21.4;2;FE2;3EST;0.660971673;1266.5606;4.8566;22.714303934;350;20.1;2.9957322736;8.9744118548
99100801;10;2;21.3;20.3;2;FE2;3EST;0.6983427546;1266.5606;4.8566;23.746258216;325;19;3.1045866785;9.6384584441
99100801;13;1;16.2;14.3;2;FE2;3EST;0.5635653212;1266.5606;4.8566;22.714303934;350;13;2.8449093838;8.0935094021
99100801;13;2;17.6;15.5;2;FE2;3EST;0.5770343887;1266.5606;4.8566;23.746258216;325;14.2;2.9231615807;8.544873627
99100801;16;1;28.4;25.9;2;FE2;3EST;0.9879787112;1266.5606;4.8566;22.714303934;350;24.6;3.3809946743;11.431124988
99100801;3;1;26.1;21.3;2;FE2;3EST;0.9079663508;1266.5606;4.8566;22.714303934;350;20;3.2995337279;10.886922821
99100801;3;2;30;20.8;2;FE2;3EST;0.9835813444;1266.5606;4.8566;23.746258216;325;19.5;3.4339872045;11.792268121
99100801;6;1;40.3;22.6;2;FE2;3EST;1.4019557063;1266.5606;4.8566;22.714303934;350;21.3;3.7208625;13.844817744
99100801;6;2;41.3;21;2;FE2;3EST;1.3540636509;1266.5606;4.8566;23.746258216;325;19.7;3.7447870861;14.02343032
99100802;12;1;37.4;21.8;2;FE2;3EST;1.4522865185;1278.1309;4.8159;27.345620189;525;20.5;3.6480574596;13.308323228
99100802;12;2;42;18.2;2;FE2;3EST;1.6470899993;1278.1309;4.8159;33.194578487;650;16.9;3.7612001157;14.14662631
99100802;16;1;27.8;19.9;2;FE2;3EST;1.0795070913;1278.1309;4.8159;27.345620189;525;18.6;3.3603753871;11.292122743
99100802;16;2;31.9;20.5;2;FE2;3EST;1.2510040709;1278.1309;4.8159;33.194578487;650;19.2;3.4934726578;12.204351211
99100802;20;1;26.3;22.6;2;FE2;3EST;1.0212603058;1278.1309;4.8159;27.345620189;525;21.3;3.3068867022;10.935499661
99100802;20;2;27.1;20.4;2;FE2;3EST;1.0627652139;1278.1309;4.8159;33.194578487;650;19.1;3.3357695763;11.127358666
99100802;4;1;10.9;15.3;2;FE2;3EST;0.4232599746;1278.1309;4.8159;27.345620189;525;14;2.4765384001;6.1332424473
99100802;4;2;12.2;14.9;2;FE2;3EST;0.4784404284;1278.1309;4.8159;33.194578487;650;13.6;2.5802168296;6.6575188877
99100802;8;1;10.7;13.4;2;FE2;3EST;0.4154937366;1278.1309;4.8159;27.345620189;525;12.1;2.4595888418;6.0495772707
99100802;8;2;13.5;18.1;2;FE2;3EST;0.5294217855;1278.1309;4.8159;33.194578487;650;16.8;2.6741486494;7.1510709992
300600202;17;1;10.9;12.5;2;FE3;3EST;0.6073608389;1231.3702;3.1092;17.707096118;700;11.2;2.4765384001;6.1332424473
300600202;26;1;14.7;12.8;2;FE3;3EST;0.8191013148;1231.3702;3.1092;17.707096118;700;11.5;2.7536607124;7.5826473188
301000101;32;1;23.3;19.9;2;FE3;4EST;1.1680844898;1044.8651;3.4204;28.125206406;900;18.6;3.1904763503;10.179139342
301000101;39;1;15.4;19.1;2;FE3;4EST;0.7720386756;1044.8651;3.4204;28.125206406;900;17.8;2.7972813348;7.8247828662
301200102;108;1;29.3;20.6;5;MJ2;2OUEST;1.1648414479;994.1912;4.7363;24.846286884;500;19.3;3.4111477125;11.635928717
301300102;18;1;16;13.6;2;FE3;3OUEST;0.7375947861;1023.2901;3.8724;28.641507524;775;12.3;2.8332133441;8.0270978529
301300102;32;1;18.4;14.9;2;FE3;3OUEST;0.848234004;1023.2901;3.8724;28.641507524;775;13.6;2.9652730661;8.7928443564
301400101;18;1;12.7;16.4;2;FE3;3OUEST;0.7201863912;978.9821;4.1624;19.53878208;800;15.1;2.6173958328;6.8507609457
301400101;6;1;24.9;21.3;2;FE3;3OUEST;1.4120189874;978.9821;4.1624;19.53878208;800;20;3.2542429687;10.590097299
301500102;15;1;19.2;19.5;2;FE3;3OUEST;1.0992336387;1010.4328;2.7729;21.565266421;900;18.2;3.0056826044;9.0341279184
301500102;23;1;10;11.7;2;FE3;3OUEST;0.5725175201;1010.4328;2.7729;21.565266421;900;10.4;2.3978952728;5.7499017393
301500102;37;1;22.7;15.1;2;FE3;3OUEST;1.2996147707;1010.4328;2.7729;21.565266421;900;13.8;3.1654750481;10.02023228
301500102;7;1;18.8;15.5;2;FE3;3OUEST;1.0763329379;1010.4328;2.7729;21.565266421;900;14.2;2.9856819377;8.9142966331
301700201;12;1;13.7;13.1;2;FE3;3OUEST;0.761596852;1021.0523;3.232;12.071864296;475;11.8;2.6878474938;7.2245241498
301700201;15;1;17.2;15.5;2;FE3;3OUEST;0.9561653909;1021.0523;3.232;12.071864296;475;14.2;2.9014215941;8.4182472666
301700201;4;1;23.4;14.5;2;FE3;3OUEST;1.3008296597;1021.0523;3.232;12.071864296;475;13.2;3.1945831323;10.205361389
301700201;9;1;28.7;15.4;2;FE3;3OUEST;1.5954620185;1021.0523;3.232;12.071864296;475;14.1;3.3911470458;11.499878286
602400102;12;1;18.5;20.9;2;FE3;3OUEST;0.9491866252;1026.6962;3.6803;17.901168004;600;19.6;2.9704144656;8.8233620973
602400102;16;1;25.1;22.7;2;FE3;3OUEST;1.2878153672;1026.6962;3.6803;17.901168004;600;21.4;3.2619353143;10.640221995
602400102;4;1;11.3;14;2;FE3;3OUEST;0.5797734522;1026.6962;3.6803;17.901168004;600;12.7;2.5095992624;6.2980884577
